Linux 5.15.153.1-microsoft-standard-WSL2 (d5ee9b81d882) 	06/12/25 	_x86_64_	(8 CPU)

06:17:39      UID       PID   cswch/s nvcswch/s  Command
06:17:49        0         1      0.00      5.80  train
06:17:59        0         1      0.00      4.70  train
06:18:09        0         1      0.00      3.20  train
06:18:19        0         1      0.00      3.20  train
06:18:29        0         1      0.00      2.90  train
06:18:39        0         1      0.00      3.30  train
06:18:49        0         1      0.00      3.10  train
06:18:59        0         1      0.00      4.10  train
06:19:09        0         1      0.00      5.10  train
06:19:19        0         1      0.00      3.50  train
06:19:29        0         1      0.00      3.10  train
06:19:39        0         1      0.00      3.30  train
06:19:49        0         1      0.00      3.00  train
06:19:59        0         1      0.00      2.90  train
06:20:09        0         1      0.00      3.30  train
06:20:19        0         1      0.00      3.00  train
06:20:29        0         1      0.00      3.00  train
06:20:39        0         1      0.00      3.10  train
06:20:49        0         1      0.00      3.30  train
06:20:59        0         1      0.00      4.10  train
06:21:09        0         1      0.00      3.40  train
06:21:19        0         1      0.00      2.80  train
06:21:29        0         1      0.00      3.20  train
06:21:39        0         1      0.00      3.00  train
06:21:49        0         1      0.00      5.20  train
06:21:59        0         1      0.80      6.10  train
06:22:09        0         1      0.80      3.20  train
06:22:19        0         1      0.10      3.00  train
06:22:29        0         1      0.40      3.10  train
06:22:39        0         1      0.60      3.40  train
06:22:49        0         1      0.60     70.20  train
06:22:59        0         1      0.00      5.50  train
06:23:09        0         1      0.00      5.00  train
06:23:19        0         1      0.00      5.40  train
06:23:29        0         1      0.00      5.10  train
06:23:39        0         1      0.00      2.90  train
06:23:49        0         1      0.00      2.90  train
06:23:59        0         1      0.00      3.10  train
06:24:09        0         1      0.00      2.80  train
06:24:19        0         1      0.00      2.90  train
06:24:29        0         1      0.00      3.10  train
06:24:39        0         1      0.00      3.10  train
06:24:49        0         1      0.00      3.30  train
06:24:59        0         1      0.00      3.70  train
06:25:09        0         1      0.00      2.80  train
06:25:19        0         1      0.00      3.10  train
06:25:29        0         1      0.00      3.10  train
06:25:39        0         1      0.00      2.90  train
06:25:49        0         1      0.00      3.10  train
06:25:59        0         1      0.00      3.60  train
06:26:09        0         1      0.00      3.10  train
06:26:19        0         1      0.00      8.70  train
06:26:29        0         1      0.00      3.50  train
06:26:39        0         1      0.00      3.30  train
06:26:49        0         1      0.00      3.20  train
06:26:59        0         1      0.00      2.90  train
06:27:09        0         1      0.00      3.60  train
06:27:19        0         1      0.00      3.10  train
06:27:29        0         1      0.00      3.10  train
