Linux 5.15.153.1-microsoft-standard-WSL2 (6cb60612262d) 	06/12/25 	_x86_64_	(8 CPU)

06:32:19      UID       PID   cswch/s nvcswch/s  Command
06:32:29        0         1      0.00   3296.70  train
06:32:39        0         1      0.10   2879.90  train
06:32:49        0         1      3.00   3241.10  train
06:32:59        0         1      0.00   3371.70  train
06:33:09        0         1      0.00   3071.70  train
06:33:19        0         1      0.00   3401.10  train
06:33:29        0         1      0.00   3352.05  train
06:33:39        0         1      0.00   3129.10  train
06:33:49        0         1      0.00   3417.60  train
06:33:59        0         1      0.00   3199.50  train
06:34:09        0         1      0.00   2992.30  train
06:34:19        0         1      0.00   3387.50  train
06:34:29        0         1      0.00   3390.60  train
06:34:39        0         1      0.00   2944.00  train
06:34:49        0         1      0.00   3434.10  train
06:34:59        0         1      0.60   3237.90  train
06:35:09        0         1      0.00   3184.10  train
06:35:19        0         1      0.00   3401.70  train
06:35:29        0         1      0.00   3197.10  train
06:35:39        0         1      0.00   3304.90  train
06:35:49        0         1      0.00   3354.60  train
06:35:59        0         1      0.30   2991.70  train
06:36:09        0         1      0.00   3300.80  train
06:36:19        0         1      0.00   3350.90  train
06:36:29        0         1      0.00   3096.60  train
06:36:39        0         1      0.10   3308.40  train
06:36:49        0         1      0.00   3377.10  train
06:36:59        0         1      0.00   2941.40  train
06:37:09        0         1      0.00   3325.60  train
06:37:19        0         1      0.00   3333.10  train
06:37:29        0         1      1.90   3060.30  train
06:37:39        0         1      0.00   3367.40  train
06:37:49        0         1      0.00   3414.00  train
06:37:59        0         1      0.00   3063.40  train
06:38:09        0         1      0.00   3375.30  train
06:38:19        0         1      0.00   3309.90  train
06:38:29        0         1      0.00   3137.30  train
06:38:39        0         1      0.00   3375.80  train
06:38:49        0         1      0.00   3180.90  train
06:38:59        0         1      0.00   3245.60  train
06:39:09        0         1      0.00   3138.30  train
06:39:19        0         1      0.00   3060.10  train
06:39:29        0         1      0.00   3380.30  train
06:39:39        0         1      0.00   3408.60  train
06:39:49        0         1      0.00   3147.00  train
06:39:59        0         1      2.50   3352.30  train
06:40:09        0         1      3.90   3288.30  train
06:40:19        0         1      0.00   3105.10  train
06:40:29        0         1      0.00   3316.50  train
06:40:39        0         1      0.00   3391.80  train
06:40:49        0         1      0.00   3005.40  train
06:40:59        0         1     14.30   3207.50  train
06:41:09        0         1      0.00   3308.79  train
06:41:19        0         1      0.30   2656.50  train
06:41:29        0         1      0.00   3421.80  train
06:41:39        0         1      0.00   3138.80  train
06:41:49        0         1      0.00   3442.10  train
06:41:59        0         1      0.00   3275.50  train
06:42:09        0         1      3.80   2907.90  train
06:42:19        0         1      0.00   3283.80  train
06:42:29        0         1      0.00   3379.50  train
06:42:39        0         1      0.00   3113.20  train
06:42:49        0         1      0.00   3362.90  train
06:42:59        0         1      0.00   3342.10  train
06:43:09        0         1      0.20   3050.30  train
06:43:19        0         1      0.00   3270.30  train
06:43:29        0         1      0.00   3217.60  train
06:43:39        0         1      0.00   3241.80  train
06:43:49        0         1      0.00   3400.40  train
06:43:59        0         1     12.40   2779.90  train
06:44:09        0         1      0.00   3149.40  train
06:44:19        0         1      0.00   3282.80  train
06:44:29        0         1     15.40   2886.70  train
06:44:39        0         1     15.60   3297.20  train
06:44:49        0         1      0.00   3300.80  train
06:44:59        0         1     15.40   2884.30  train
06:45:09        0         1      0.00   3418.20  train
06:45:19        0         1      0.00   3218.90  train
06:45:29        0         1      0.10   3232.90  train
06:45:39        0         1      0.00   3293.20  train
06:45:49        0         1      0.00   3050.20  train
06:45:59        0         1     13.10   3300.50  train
06:46:09        0         1      0.00   3404.70  train
06:46:19        0         1      0.00   3080.00  train
06:46:29        0         1      0.00   3380.72  train
06:46:39        0         1      0.00   3407.61  train
06:46:49        0         1     12.80   2955.00  train
