Update,Master(img),Master Time,Slaver(img),Slaver Time,Max Time
0,999,0.065693,30999,0.010972,0.065693
1,1999,0.014298,31999,0.079932,0.079932
2,2999,0.106396,32999,0.009487,0.106396
3,3999,0.011455,33999,0.032366,0.032366
4,4999,0.105884,34999,0.008029,0.105884
5,5999,0.007776,35999,0.030345,0.030345
6,6999,0.121146,36999,0.019581,0.121146
7,7999,0.149642,37999,0.010063,0.149642
8,8999,0.15967,38999,0.012056,0.15967
9,9999,0.00791,39999,0.129946,0.129946
10,10999,0.050196,40999,0.019942,0.050196
11,11999,0.018853,41999,0.008895,0.018853
12,12999,0.011732,42999,0.194138,0.194138
13,13999,0.229252,43999,0.008487,0.229252
14,14999,0.18382,44999,0.008016,0.18382
15,15999,0.007411,45999,0.040601,0.040601
16,16999,0.006995,46999,0.010605,0.010605
17,17999,0.271975,47999,0.007371,0.271975
18,18999,0.178095,48999,0.011558,0.178095
19,19999,0.009787,49999,0.100929,0.100929
20,20999,0.005484,50999,0.114056,0.114056
21,21999,0.067597,51999,0.007185,0.067597
22,22999,0.007094,52999,0.137136,0.137136
23,23999,0.028924,53999,0.008631,0.028924
24,24999,0.226779,54999,0.008455,0.226779
25,25999,0.057281,55999,0.008145,0.057281
26,26999,0.011373,56999,0.168756,0.168756
27,27999,0.202024,57999,0.009677,0.202024
28,28999,0.110928,58999,0.009468,0.110928
29,29999,0.116212,59999,0.007906,0.116212
